Book,Books > Fiction > Computers in Literature,9780553382563,"I, Robot","A classic collection of interlocking tales chronicles the near-future development of the robot and features models that have the ability to read minds, experience human emotions, and take over the world--and, perhaps, render humankind ...",Book partner,9780553382563,17.99,54
Book,Books > Fiction > Computers in Literature,9780307887436,Cart's Top 200 Adult Books for Young Adults: Two Decades in Review,"ISBN: 9780307887436. SPEC, HUM Welcome to the year 2044, a grandly   dystopian future where kids like Wade live a largely virtual existence thanks to   global warming. Wade lives in a kind of ghetto area called the Stacks, for the   stacks of ...",Book partner,9780307887436,8.99,4
Book,Books > Fiction > Computers in Literature,9781429963947,Speaker for the Dead,"In the aftermath of his terrible war, Ender Wiggin disappeared, and a powerful voice arose: The Speaker for the Dead, who told the true story of the Bugger War.",Book partner,9781429963947,22.99,74
Book,Books > Fiction > Computers in Literature,9780441013678,Count Zero,"In the future world of the Sprawl, an urban complex that extends from Boston to Houston, where a sentient computer database known as the Cyberspace matrix dominates humanity's fate, a corporate mercenary, awakening in a reconstructed body, ...",Book partner,9780441013678,21.99,68
Book,Books > Fiction > Computers in Literature,9780385533850,Robopocalypse,"Two decades into the future humans are battling for their very survival when a powerful AI computer goes rogue, and all the machines on earth rebel against their human controllers.",Book partner,9780385533850,16.99,7
Book,Books > Fiction > Computers in Literature,9780691147543,The Silicon Jungle,"Baluja tells a story about something that could happen to any of us--if you're even modestly concerned about information privacy, this is an important book to read.",Book partner,9780691147543,7.99,35
Book,Books > Fiction > Computers in Literature,9781450556569,A Terrace on the Tower of Babel,Delve deep into its provocative and compelling depths or float along at the surface and enjoy it in either case - this is a story you'll never forget!,Book partner,9781450556569,6.99,48
Book,Books > Fiction > Computers in Literature,9780812536362,Rainbows End,"In a near-future western civilization that is threatened by corruptive practices within its technologically advanced information networks, a recovered Alzheimer's victim, his military son and daughter-in-law, and his middle school-age ...",Book partner,9780812536362,7.99,37
Book,Books > Fiction > Computers in Literature,9781416533214,A Hymn Before Battle,"With Earth in the path of the rapacious Posleen, the peaceful and friendly races of the Galactic Federation offer their resources to help the backward Terrans--for a price.",Book partner,9781416533214,5.99,58
Book,Books > Fiction > Computers in Literature,9780307430083,Vulcan's Hammer,"With breathtaking insight, he utilizes vividly unfamiliar worlds to evoke the hauntingly and hilariously familiar in our society and ourselves. From the Trade Paperback edition.",Book partner,9780307430083,0.99,13
Book,Books > Fiction > Computers in Literature,9781568582474,The Hacker and the Ants,"An ""innocent"" computer hacker suddenly finds himself on the most wanted list when his computer becomes the source of the worst computer virus in history--a virus he had nothing to do with. Original.",Book partner,9781568582474,11.99,26
Book,Books > Fiction > Computers in Literature,9781607012115,The Ware Tetralogy,"A collection of four science fiction works includes ""Software,"" where rebel robots bring immortality to their human creator by eating his brain, and ""Wetware,"" where robots begin to build their own race of humans.",Book partner,9781607012115,7.99,89
Book,Books > Fiction > Computers in Literature,9780752837451,Host,Brilliant scientist Joe Messenger believes that people can be made to live for ever.,Book partner,9780752837451,12.99,81
Book,Books > Fiction > Computers in Literature,9780714530338,Computer One,,Book partner,9780714530338,1.99,85
Book,Books > Fiction > Computers in Literature,9781416507789,The Cuckoo's Egg,"Updated with a new afterword, a true-life account of computer espionage tells of a year-long single-handed hunt for a computer thief known as ""Hunter,"" a hacker who stole sensitive security and military information from American computer ...",Book partner,9781416507789,0.99,0
Book,Books > Fiction > Computers in Literature,9781466207608,Why Is Unit 142857 Sad?,"The story is about a robot who achieved consciousness at 3:34 pm and fell in love by 4:00 pm with Ellen, a brilliant and beautiful woman from the team that had programmed the robot.",Book partner,9781466207608,22.99,19
Book,Books > Fiction > Computers in Literature,9780395860014,Love,"Spackle. Dialogue. Beck studied for MCATs and drank beer. It was Italian beers   that week, so he had a Raffo or a Poretti. While he worked, he watched that   Grundig portable he'd rented with Grandma Beckett's latest check. He'd just   picked it ...",Book partner,9780395860014,24.99,0
Book,Books > Fiction > Computers in Literature,9780743421928,Look to Windward,"A Chelgrian emissary is sent to the Masaq' Orbital to bring Ziller, a famous but reclusive Chelgrian composer, home, on a mission that also has a top-secret purpose that will take him on a haunting odyssey into his own past and into ...",Book partner,9780743421928,1.99,76
Book,Books > Fiction > Computers in Literature,9780446361309,Queen of Angels,"In twenty-first-century Los Angeles, three dissimilar sleuths--therapist Martin Burke, ambitious cop Mary Choy, and Richard Fettle, the killer's offbeat colleague--investigate diverse reasons why poet Emanuel Goldsmith would senselessly ...",Book partner,9780446361309,26.99,57
Book,Books > Fiction > Computers in Literature,9781935554158,Richard Yates,"""Richard Yates is named after real-life writer Richard Yates, but it has nothing to do with him.",Book partner,9781935554158,1.99,54
Book,Books > Fiction > Computers in Literature,9781857988369,Stand on Zanzibar,Two roommates-one a scientist and the other a potential killer-are the subject of this futuristic novel. Also use: Shockwave Rider (1984).,Book partner,9781857988369,7.99,9
Book,Books > Fiction > Computers in Literature,9780380816033,The Big U,"Casimir Radon's first year at American Megaversity turns out completely different than he had imagined, with bizarre factions, cults, and feuds on campus, in a new edition of the satirical debut novel by the author of Cryptonomicon.",Book partner,9780380816033,5.99,62
Book,Books > Fiction > Computers in Literature,9781857987638,The City and the Stars,"Men had built cities before, but never such a city as Diaspar; for millennia its protective dome shutout the creeping decay and danger of the world outside.",Book partner,9781857987638,16.99,74
